Name,Brand,Rating,Review on Parfumo?,Would I Wear?,Sample/Full Bottle?,Themes,Strength,Season,Gender,Notes,search_text
Black Opium,Yves Saint Laurent,3,True,Yes,Full Bottle,"Floral, Peppery, Oriental, Spicy",Normal,Autumn,Feminine,"Orange blossom, pink pepper, coffee, jasmine, vanilla, patchouli, cedar","black opium yves saint laurent orange blossom, pink pepper, coffee, jasmine, vanilla, patchouli, cedar floral, peppery, oriental, spicy"
Bamboo,Gucci,3,True,No,Full Bottle,"Floral, Elegant, Fresh, Sweet, Fruity",Subtle,Spring,Feminine,"Bergamot, Casablanca lily, ylang-ylang, orange blossom, ambergris, sandalwood, vanilla","bamboo gucci bergamot, casablanca lily, ylang-ylang, orange blossom, ambergris, sandalwood, vanilla floral, elegant, fresh, sweet, fruity"
Jon and Martin,Sucreabeille,4,True,Yes,Full Bottle,"Tea, Cosy, Academic, Earthy, Leathery, Gourmand, Sweet, Creamy",Subtle,Any,Unisex,"Paper, amber, black tea, milk","jon and martin sucreabeille paper, amber, black tea, milk tea, cosy, academic, earthy, leathery, gourmand, sweet, creamy"
Yorkshire Lad,The Yorkshire Soap Co.,4,False,Yes,Full Bottle,"Fresh, Citrus, Woody",Normal,Any,Masculine,"Lemon, bergamot, olive blossom, lavender, tonka bean, oud, sandalwood","yorkshire lad the yorkshire soap co. lemon, bergamot, olive blossom, lavender, tonka bean, oud, sandalwood fresh, citrus, woody"
Aizen Sosuke,Primaniacs,5,False,Yes,Full Bottle,"Character, Sexy, Woody, Smoky",Strong,Any,Unisex,"Ozonic notes, woody notes, marine notes, Lily of the valley, rose, patchouli, rosewood, Musk, amber, smoky notes, cashmere wood","aizen sosuke primaniacs ozonic notes, woody notes, marine notes, lily of the valley, rose, patchouli, rosewood, musk, amber, smoky notes, cashmere wood character, sexy, woody, smoky"
2B (YoRHa No. 2 Type B),Primaniacs,4,False,Yes,Full Bottle,"Character, Floral",Strong,Any,Unisex,"Bergamot, lavender, Lily of the valley, violet, rose, sandalwood, Vanilla, Musk, Amber","2b (yorha no. 2 type b) primaniacs bergamot, lavender, lily of the valley, violet, rose, sandalwood, vanilla, musk, amber character, floral"
9S (YoRHa No. 9 Type S),Primaniacs,3,False,Yes,Full Bottle,Character,Normal,Any,Unisex,"Apricot, Freesia, Tea, Violet, Raspberry, lily of the valley, cedar wood, amber, musk, vetiver, sandalwood","9s (yorha no. 9 type s) primaniacs apricot, freesia, tea, violet, raspberry, lily of the valley, cedar wood, amber, musk, vetiver, sandalwood character"
Albedo,Primaniacs,4,False,Yes,Full Bottle,Character,Normal,Any,Unisex,"Fig, bergamot, cypress, Hinoki cypress, lavender, soapy notes, juniper, iris, patchouli, musk, floral ozone","albedo primaniacs fig, bergamot, cypress, hinoki cypress, lavender, soapy notes, juniper, iris, patchouli, musk, floral ozone character"
Velvet-,Commodity,3,True,Yes,Miniature,"Sexy, Sweet, Spicy, Smoky, Creamy, Floral",Normal,Any,Unisex,"Clove, rose, almond, musk, amber, vanilla","velvet- commodity clove, rose, almond, musk, amber, vanilla sexy, sweet, spicy, smoky, creamy, floral"
Dead Air,.Oddity,4,True,Yes,Sample,"Salty, Electric, Green, Spicy, Aquatic, Earthy, Woody",Normal,Any,Unisex,"Davana, patchouli, lovage root, opoponax, salt, oak, violet leaf, narcissus, dates, vetiver, labdanum, cedar, freesia","dead air .oddity davana, patchouli, lovage root, opoponax, salt, oak, violet leaf, narcissus, dates, vetiver, labdanum, cedar, freesia salty, electric, green, spicy, aquatic, earthy, woody"
